Date,Receipt,Description,Amount,Extended Details,Appears On Your Statement As,Address,City/State,Zip Code,Country,Reference,Category
09/30/2025,,FRAME.IO            SAN JOSE            CA,15.00,"CH_3SDHQZIE +12122777999
FRAME.IO
SAN JOSE
CA
+12122777999",FRAME.IO            SAN JOSE            CA,345 PARK AVE,"SAN JOSE
CA",95110,UNITED STATES,'320252740357740346',Merchandise & Supplies-Computer Supplies
09/29/2025,,SOUNDLY PRO MONTHLY OSLO                OS,19.99,"CH_3SCLYJ45 +4793294327
SOUNDLY PRO MONTHLY
OSLO
OS
+4793294327",SOUNDLY PRO MONTHLY OSLO                OS,"BYGDOY KAPELLVEI 20
OSLO",,0287,NORWAY,'320252720287256095',Merchandise & Supplies-Computer Supplies
09/28/2025,,BT*WAVES            KNOXVILLE           TN,24.99,"03HE4JY7    8659099200
BT*WAVES
KNOXVILLE
TN
8659099200",BT*WAVES            KNOXVILLE           TN,2800 MERCHANT DR,"KNOXVILLE
TN",37912,UNITED STATES,'320252720291085615',Merchandise & Supplies-Computer Supplies
09/28/2025,,YOUR CASH REWARD/REFUND IS,-10.30,YOUR CASH REWARD/REFUND IS,YOUR CASH REWARD/REFUND IS,,,,,'320252720305497017',Fees & Adjustments-Fees & Adjustments
09/27/2025,,MOBILE PAYMENT - THANK YOU,-526.26,MOBILE PAYMENT - THANK YOU,MOBILE PAYMENT - THANK YOU,,,,,'320252700223914109',
09/19/2025,,ONLINE PASSPORT FEESCHARLESTON          SC,130.00,"9999999526343534721141      29405
Consular services
ONLINE PASSPORT FEES 000000001
CHARLESTON
SC
Consular services
43534721141      29405",ONLINE PASSPORT FEESCHARLESTON          SC,600 19TH ST NORTH WEST,"WASHINGTON
DC",20431,UNITED STATES,'320252630046026777',Other-Government Services
09/05/2025,,FS *AVID TECHNOLOGY FSPRG.COM           CA,299.00,"4BZZ9G01587 SUPPORT@FASTSPRING.CO
SUPPORT@FASTSPRING.COM
FS *AVID TECHNOLOGY 524546
FSPRG.COM
CA
SUPPORT@FASTSPRING.COM",FS *AVID TECHNOLOGY FSPRG.COM           CA,801 GDN ST,"SANTA BARBARA
CA",93101,UNITED STATES,'320252480616900410',Business Services-Internet Services
09/05/2025,,SPECTRUM            855-707-7328        MO,41.25,"RC156342516CABLE SVC
SPECTRUM
855-707-7328
MO
CABLE SVC",SPECTRUM            855-707-7328        MO,12405 POWERSCOURT DR,"SAINT LOUIS
MO",63131,UNITED STATES,'320252480619926288',Communications-Cable & Internet Comm
09/01/2025,,SOUNDSATIONS 0848700WESTCHESTER         CA,43.88,"73011005244 LEEWILSONEIGHT@GMAIL.
LEEWILSONEIGHT@GMAIL.COM
SOUNDSATIONS 084870021981483
WESTCHESTER
CA
LEEWILSONEIGHT@GMAIL.COM",SOUNDSATIONS 0848700WESTCHESTER         CA,8701 LA TIJERA BLVD,"LOS ANGELES
CA",90045,UNITED STATES,'320252450547071806',Merchandise & Supplies-Music & Video
09/01/2025,,YOUR CASH REWARD/REFUND IS,-2.87,YOUR CASH REWARD/REFUND IS,YOUR CASH REWARD/REFUND IS,,,,,'320252450548098879',Fees & Adjustments-Fees & Adjustments
08/31/2025,,FRAME.IO            SAN JOSE            CA,15.00,"CH_3S2OUMIE +12122777999
FRAME.IO
SAN JOSE
CA
+12122777999",FRAME.IO            SAN JOSE            CA,345 PARK AVE,"SAN JOSE
CA",95110,UNITED STATES,'320252440507282416',Merchandise & Supplies-Computer Supplies
